title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,country_of_publication,year
ORANGE IS THE NEW BLACK,Piper Kerman,9780385523394,0385523394,2.0,,A memoir about a year in a women’s prison. The basis for the Netflix series. ,https://www.amazon.com/Orange-Is-New-Black-Womens-ebook/dp/B0036S4B6M?tag=NYTBS-20,,"Federal Correctional Institution (Danbury, Conn.), Women prisoners, Reformatories for women",English-speaking area,2011-03-08
"ORANGE: THE COMPLETE COLLECTION, VOL. 2",Ichigo Takano,9781626922716,1626922713,1.0,,"A high school student receives a letter from her future self, which contains a plea for her to protect a new classmate in this romantic tale.",https://www.amazon.com/orange-Complete-Collection-Ichigo-Takano/dp/1626922713?tag=NYTBS-20,,"Fate and fatalism, High school students, Comic books, strips",English-speaking area,2016-05-31
ORCHARD VALLEY GROOMS,Debbie Macomber,9780778327981,0778327981,5.0,,"A reissue of two novels from 1992, ""Valerie"" and ""Stephanie.""",https://www.amazon.com/Orchard-Valley-Grooms-Debbie-Macomber/dp/0778327981?tag=NYTBS-20,,,English-speaking area,2010-05-25
ORDER 66,Karen Traviss,,,12.0,,The Republic’s clone forces fight against treacherous odds; a “Star Wars” novel.,http://www.amazon.com/Order-66-Star-Wars-Vol/dp/0345513851?tag=NYTBS-20,Del Rey,,,
ORDINARY GRACE,William Kent Krueger,,,19.0,,,http://www.amazon.com/Ordinary-Grace-William-Kent-Krueger/dp/1451645821?tag=NYTBS-20,Atria,,,2014-03-04
"ORESAMA TEACHER, VOL. 8",Izumi Tsubaki,9781421540962,1421540967,4.0,,"Mafuyu, who has been sent to a rural school to change her delinquent ways, has two tasks over the summer: catch up on homework and sing the praises of her teacher to one of his colleagues.",https://www.amazon.com/Oresama-Teacher-Vol-Izumi-Tsubaki/dp/1421540967?tag=NYTBS-20,,,English-speaking area,2012-05-01
ORIGAMI YODA,Tom Angleberger,9781419703928,1419703927,4.0,,A middle school student captures attention when he creates a sagacious finger-puppet Yoda.,https://www.amazon.com/Princess-Labelmaker-Rescue-Origami-Yoda/dp/1419710524?tag=NYTBS-20,,"JUVENILE FICTION / Readers / Chapter Books, Middle schools, JUVENILE FICTION / Humorous Stories, Fiction, Finger puppets, Interpersonal relations, Origami, Schools, Eccentrics and eccentricities, JUVENILE FICTION / General",English-speaking area,2012-08-07
ORIGIN,Dan Brown,9780385514231,0385514239,1.0,,"After reconnecting with one of his first students, who is now a billionaire futurist, symbology professor Robert Langdon must go on a perilous quest with a beautiful museum director.",https://www.amazon.com/Origin-Novel-Dan-Brown-ebook/dp/B01LY7FD0D?tag=NYTBS-20,Doubleday,,English-speaking area,2017-10-03
ORIGINAL SIN,,9780785190691,0785190694,2.0,,"The Watcher has been murdered and a number of heroes move quickly to investigate the mystery, but could the culprit be one of their own?",https://www.amazon.com/Original-Sin-Marvel-Comics/dp/0785190694?tag=NYTBS-20,,"Comics & graphic novels, superheroes",English-speaking area,2014-11-18
ORIGINALS,Adam Grant,9780143128854,014312885X,4.0,,"A Wharton School professor argues that innovators are made, not born, and offers suggestions  for how to become one.",https://www.amazon.com/Originals-How-Non-Conformists-Move-World/dp/0525429565?tag=NYTBS-20,,,English-speaking area,2017-02-07
