author,birth_date,birth_place,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Suzanne Collins,25/05/1978,,,,,,TRUE,
Tatiana Maslany,22/09/1985,,,,,,TRUE,
Sonya Renee TaylorBianca I. Laureano,,,,,,,FALSE,
Margarita Alcantara,,,,,,,FALSE,
Leslie Howard,29/04/1948,,,Classical_music,,,TRUE,
by Daniele Bott,,,,,,,FALSE,
Daniel G. Amen,,,,,,,FALSE,
E. B WhiteGarth Williams,,,,,,,FALSE,
E. B. WhiteGarth Williams,,,,,,,FALSE,
John Archambault,,,,,,,TRUE,
Bahni Turpin,,,,,,,FALSE,
Tess Gerritsen,12/06/1953,,,Mystery_fiction,,,TRUE,
Gary Braver,,,,,,,FALSE,
Kirsten Potter,,,,,,,FALSE,
C. S. Lewis,1898-11-29,,22/11/1963,Christian_apologetics,,,TRUE,
Heather Morris,01/02/1987,,,,,,TRUE,
Louise Brealey,27/03/1979,,,,,,TRUE,
Perdita Weeks,25/12/1985,,,,,,TRUE,
Mae Whitman,09/06/1988,,,,,,TRUE,
Sam Heughan,30/04/1980,,,,,,TRUE,
Graham McTavish,04/01/1961,,,,,,TRUE,
Diana Gabaldon - foreword,,,,,,,FALSE,
Hodder,,,,,,,FALSE,
David Walliams,20/08/1971,,,,,,TRUE,
Melody Beattie,,,,,,,FALSE,
Karl MarxFriedrich Engels,,,,,,,FALSE,
Matthew FitzSimmons,,,,,,,FALSE,
Sally Rooney,20/02/1991,,,,,,TRUE,
Don Freeman,,,,,,,FALSE,
Moriah Elizabeth,,,,,,,FALSE,
Valentina Harper,,,,,,,FALSE,
Gary J. Byrne,,,,,,,FALSE,
Roger Clark,16/03/1908,,13/10/1978,,,,TRUE,
Jay Snyder,,,,,,,FALSE,
Elizabeth Evans,,,,,,,FALSE,
Fred Berman,,,,,,,FALSE,
Brandon Rubin,,,,,,,FALSE,
Kevin T. Collins,,,,,,,FALSE,
Lauren Fortgang,,,,,,,FALSE,
Peter Ganim,,,,,,,FALSE,
7 more,,,,,,,FALSE,
Melinda Leigh,,,,,,,FALSE,
Christina Traister,,,,,,,FALSE,
Karen Frazier,,,,,,,FALSE,
Katsura Hoshino,,,,,,,FALSE,
Soosh,,,,,,,FALSE,
Jim Gaffigan,07/07/1966,,,Clean_comedy; Deadpan; Observational_comedy; Sarcasm; Satire,,,TRUE,
Taylor Jenkins Reid,20/12/1983,,,,,,TRUE,
Cathy Glass,,,,Inspirational_fiction,,,TRUE,
H M Ward,,,,,,,FALSE,
Joel C Rosenberg,,,,,,,FALSE,
Dan Howell,,,,,,,TRUE,
Phil Lester,30/01/1987,,,,,,TRUE,
Nozomu Tamaki,,,,,,,FALSE,
Billy Idol,,,,,,,TRUE,
Diana Palmer,,,,,,,FALSE,
Milo Yiannopoulos,18/10/1984,,,,,,TRUE,
edited  George R R Martin,,,,,,,FALSE,
Gardner Dozois,23/07/1947,,27/05/2018,Anthologies; Science_fiction_magazine,,,TRUE,
Dan Middleton,,,,,,,FALSE,
Doreen Mulryan,,,,,,,FALSE,
Mike Love,15/03/1941,,,,,,TRUE,
Klaus Janson,,,,,,,FALSE,
Paolo Rivera,,,,,,,FALSE,
Pierce Brown,28/01/1988,,,,,,TRUE,
Joyce Sidman,,,,,,,FALSE,
Gwynn White,,,,,,,FALSE,
various authors,,,,,,,FALSE,
Blake Crouch,15/10/1978,,,Mystery_fiction; Science_fiction; Thriller_(genre),,,TRUE,
Jane Mayer,,,,,,,TRUE,
Gillian Flynn,24/02/1971,,,Fiction; Mystery_fiction; Thriller_(genre),,,TRUE,
Kresley Cole,,,,Children's_literature; Fantasy; Historical_fiction; Paranormal; Romance_novel; Young_adult_fiction,,,TRUE,
Robin Furth,11/06/1965,,,,,,TRUE,
Richard Isanove,,,,,,,FALSE,
L J Smith,,,,,,,FALSE,
EL James,,,,,,,FALSE,
Lara Adrian,,,,,,,FALSE,
Alexandra Bracken,,,,Fantasy,,,TRUE,
Kelley Armstrong,,,,,,,TRUE,
Drew Karpyshyn,28/07/1971,,,,,,TRUE,
Tom Angleberger,,,,,,,TRUE,
Jeffrey Brown,16/02/1968,,,,,,TRUE,
Lori Foster,,,,Romance_novel; Suspense; Urban_fantasy,,,TRUE,
Bruce Schneier,15/01/1963,,,,,,TRUE,
Christian Rudder,01/09/1975,,,,,,TRUE,
Laban Carrick Hill,,,,,,,FALSE,
Rei Toma,,,,,,,FALSE,
Anita Diamant,,,,,,,FALSE,
Laini Taylor,11/12/1971,,,Young_adult_fiction,,,TRUE,
Jude Deveraux,20/09/1947,,,Historical; Mystery_fiction; Paranormal; Romance_novel,,,TRUE,
Bryan Burrough,13/08/1961,,,,,,TRUE,
Fabio Moon,,,,,,,FALSE,
Gabriel Ba,,,,,,,FALSE,
Derek Fridolfs,,,,,,,FALSE,
Shea Fontana,,,,,,,FALSE,
Yancy Labat,,,,,,,FALSE,
Jack Gantos,,,,,,,TRUE,
Donnie Eichar,,,,,,,TRUE,
Grant Blackwood,07/06/1964,,,Thriller_(book),,,TRUE,
Christopher Shy,,,,,,,FALSE,
Ian Edginton,,,,,,,FALSE,
Erik Larson,,,,,,,TRUE,
Stephen Hunter,25/03/1946,,,Thriller_(genre),,,TRUE,
Linda Fairstein,05/05/1947,,,,,,TRUE,
Sandra Brown,,,,,,,TRUE,
Richard Castle,,,,,,,TRUE,
Jinsei Katoka,,,,,,,FALSE,
Kazuma Kondou,,,,,,,FALSE,
Jinsei Kataoka,,,,,,,FALSE,
Daniel Way,,,,,,,FALSE,
Cullen Bunn,,,,,,,FALSE,
Dalibor Talajic,,,,,,,FALSE,
Paco Medina,,,,,,,FALSE,
Bill Kreutzmann,07/05/1946,,,Jam_band; Jazz_music; Psychedelic_music; Rock_music,,,TRUE,
Benjy Eisen,,,,,,,FALSE,
Henry M Paulson Jr,,,,,,,FALSE,
Jerry Lewis,21/10/1934,US,15/07/2021,,,,TRUE,
James Kaplan,,,,,,,FALSE,
Paris Rosenthal,,,,,,,FALSE,
Jason Rosenthal,,,,,,,FALSE,
Dyan Cannon,04/01/1937,,,,,,TRUE,
Val Emmich,,,,Rock_music,,,TRUE,
Steven Levenson,,,,,,,TRUE,
Benj Pasek,,,,,,,TRUE,
Justin Paul,,,,,,,TRUE,
Amy Krouse Rosenthal,29/04/1965,,13/03/2017,,,,TRUE,
Nicholas Sparks,31/12/1965,,,Romantic_drama_film; Romantic_fiction,,,TRUE,
Alice Munro,10/07/1931,,,Realism_(arts); Short_stories; Southern_Ontario_Gothic,,,TRUE,
Jennifer Palmieri,,,,,,,FALSE,
Nic Stone,,,,,,,FALSE,
Mary-Louise Parker,02/08/1964,,,,,,TRUE,
Pope Francis,,,,,,,TRUE,
P D James,,,,,,,FALSE,
M,,,,,,,TRUE,
Charles Soule,,,,,,,TRUE,
M C Beaton,,,,,,,FALSE,
Nancy Grace,23/10/1959,,,,,,TRUE,
Joe Schreiber,,,,,,,TRUE,
Cixin Liu,,,,,,,FALSE,
Terry Goodkind,11/01/1948,,17/09/2020,Epic_fantasy; Sword_and_sorcery,,,TRUE,
edited  Charlaine Harris,,,,,,,FALSE,
Toni L P Kelner,,,,,,,FALSE,
David Bach,,,,,,,TRUE,
Paul S Kemp,,,,,,,FALSE,
Steve McClatchy,,,,,,,FALSE,
Chip Heath,,,,,,,TRUE,
Dan Heath,,,,,,,TRUE,
Jay-Z,04/12/1969,,,,,,TRUE,
Leerom Segal,19/04/1979,,,,,,TRUE,
Kylie Scott,,,,,,,FALSE,
Fran Krause,,,,,,,FALSE,
Héctor Tobar,,,,,,,TRUE,
Vivian Howard,,,,,,,TRUE,
Paul Theroux,10/04/1941,,,,,,TRUE,
William Landay,23/07/1963,,,,,,TRUE,
Ruth Reichl,,,,,,,TRUE,
Elisabeth Hasselbeck,,,,,,,TRUE,
Lauren Oliver,08/11/1982,,,Dystopia; Romance_novel; Science_fiction; Young_adult_fiction,,,TRUE,
Jill Thompson,,,,,,,FALSE,
Tony Hsieh,12/12/1973,,27/11/2020,,,,TRUE,
Condoleezza Rice,14/11/1954,,,,,,TRUE,
Amy Goodman,13/04/1957,,,,,,TRUE,
David Goodman,13/02/1967,,,,,,TRUE,
Denis Moynihan,,,,,,,FALSE,
Rachel Hawkins,23/11/1979,,,,,,TRUE,
Kyousuke Motomi,,,,,,,FALSE,
H R McMaster,,,,,,,FALSE,
adapted  Rico Green,,,,,,,FALSE,
Tim Johnston,28/10/1990,,,,,,TRUE,
Bill Burnett,,,23/08/1994,,,,TRUE,
Dave Evans,24/07/1950,,25/06/2017,Bluegrass_music,,,TRUE,
T D Jakes,,,,,,,FALSE,
Jon Meacham,20/05/1969,,,,,,TRUE,
Candice Millard,16/06/1967,,,,,,TRUE,
Tony S Daniel,,,,,,,FALSE,
Ed Benes,,,,,,,FALSE,
Jason Fabok,,,,,,,FALSE,
Gilbert King,,,,,,,FALSE,
Sebastian Faulks,20/04/1953,,,,,,TRUE,
Joshua Green,1869-10-16,,24/01/1975,,,,TRUE,
Sharon Kay Penman,,,,,,,FALSE,
Joanna Wylde,,,,,,,FALSE,
Graham Brown,05/11/1950,,,,,,TRUE,
Jeff Lindsay,14/07/1952,,,Mystery_fiction,,,TRUE,
China Mieville,,,,,,,FALSE,
Mateus Santolouco,,,,,,,FALSE,
Joan Rivers,08/06/1933,,04/09/2014,Black_comedy; Blue_comedy; Improvisational_comedy; Insult_comedy; Observational_comedy; Shock_humour,,,TRUE,
Fred Perry,,,,,,,TRUE,
David Hutchinson,,,,,,,TRUE,
Bill Clegg,,,,,,,FALSE,
Cal Newport,23/06/1982,,,,,,TRUE,
Guy Fieri,22/01/1968,,,,,,TRUE,
Ann Volkwein,,,,,,,FALSE,
lyrics  Marc Sedaka,,,,,,,FALSE,
Steve Coll,08/10/1958,,,,,,TRUE,
Jeremy Scahill,18/10/1974,,,,,,TRUE,
Jocko Willink,,,,,,,TRUE,
Josh Linkner,28/07/1970,,,,,,TRUE,
Wayne Scott Andersen,,,,,,,FALSE,
Jo Casey,,,,,,,FALSE,
Laura Gilbert,,,,,,,FALSE,
Dan Lyons,,,,,,,TRUE,
Jonathan Lethem,19/02/1964,,,,,,TRUE,
Zhi Gang Sha,,,,,,,FALSE,
Catherine Rodgers,,,,,,,FALSE,
Brian Wood,29/01/1972,,,,,,TRUE,
Riccardo Burchielli,,,,,,,TRUE,
Henry Marsh,05/03/1950,,,,,,TRUE,
Tracey Stewart,,,,,,,FALSE,
Jack Olsen,07/06/1925,,16/07/2002,,,,TRUE,
illlustrated  James Newman Gray,,,,,,,FALSE,
Lee Teng Chew,,,,,,,FALSE,
Jan Smith,20/04/1945,,18/01/2022,,,,TRUE,
Terry Pratchett,28/04/1948,,12/03/2015,,,,TRUE,
Steven Tyler,,,,,,,TRUE,
David Dalton,,,,,,,FALSE,
Steven Butler,,,,,,,FALSE,
Julie Barton,,,,,,,FALSE,
BarkPost,,,,,,,FALSE,
Ken Foster,,,,,,,FALSE,
Shirow Miwa,,,,,,,TRUE,
Preet Bharara,13/10/1968,,,,,,TRUE,
Bruce Piasecki,,,,,,,TRUE,
the editors of domino,,,,,,,FALSE,
Louis Zamperini,26/01/1917,,02/07/2014,,,,TRUE,
David Rensin,,,,,,,FALSE,
Matt Kibbe,,,,,,,TRUE,
Chelsea Clinton,27/02/1980,,,,,,TRUE,
Ann Rule,22/10/1931,,26/07/2015,,,,TRUE,
Barbara Freethy,,,,Contemporary_romance; Romantic_suspense; Women's_fiction,,,TRUE,
Kian Lawley,02/09/1995,,,,,,TRUE,
Jc Caylen,11/09/1992,,,,,,TRUE,
William Stephenson,,,,,,,TRUE,
Richard Dunlop,,,,,,,FALSE,
Howard Roughan,,,,,,,FALSE,
Beth Macy,,,,,,,TRUE,
Rachel Renée Russell,13/04/1959,,,,,,TRUE,
Danielle Paige,,,,,,,FALSE,
Randi Zuckerberg,28/02/1982,,,,,,TRUE,
Jessica Seinfeld,12/09/1971,,,,,,TRUE,
Mark Halperin,11/01/1965,,,,,,TRUE,
John Heilemann,23/01/1966,,,,,,TRUE,
Yoshiki Tonogai,,,,,,,TRUE,
Leslie Mosier,,,,,,,FALSE,
Holly Madison,23/12/1979,,,,,,TRUE,
Dr Seuss,,,,,,,FALSE,
Emma Rios,,,,,,,FALSE,
Yoon Ha Lee,26/01/1979,,,Fantasy; Poetry; Science_fiction; Speculative_fiction,,,TRUE,
Michael Crichton,23/10/1942,,04/11/2008,Action_(fiction); Adventure_fiction; Science_fiction; Techno-thriller,,,TRUE,
Shiki Mizuchi,,,,,,,FALSE,
Ran,,,,,,,TRUE,
Adam Rubin,,,,,,,TRUE,
Daniel Salmieri,,,,,,,FALSE,
Margaret Weis,,,,,,,TRUE,
Tracy Hickman,,,,,,,TRUE,
Tsuyoshi Watanabe,,,,,,,TRUE,
Raina Telgemeier,,,,,,,FALSE,
Justina Ireland,07/02/1985,,,Science_fiction; Young_adult_fiction,,,TRUE,
Kristi Yamaguchi,,,,,,,FALSE,
Vince M Bertram,,,,,,,FALSE,
Laurie R King,,,,,,,FALSE,
Benjamin Dreyer,,,,,,,FALSE,
Brandi Glanville,16/11/1972,,,,,,TRUE,
Leslie Bruce,,,,,,,FALSE,
Daniel H Pink,,,,,,,FALSE,
Dan Simmons,04/04/1948,,,Fantasy; Horror_fiction; Science_fiction,,,TRUE,
A J Jacobs,,,,,,,FALSE,
Augusten X Burroughs,,,,,,,FALSE,
Willie,,,,,,,TRUE,
Korie Robertson,,,,,,,FALSE,
Mark Schlabach,,,,,,,FALSE,
Paul Collins,,,,,,,TRUE,
Julie Murphy,,,,,,,FALSE,
John Lithgow,19/10/1945,,,,,,TRUE,
Joshua Levine,,,,,,,FALSE,
Ryohgo Narita,,,,,,,FALSE,
Akiyo Satorigi,,,,,,,FALSE,
Anita Moorjani,16/03/1959,SG,,,,,TRUE,
Share The Love Gifts,,,,,,,FALSE,
Jennifer Beals,19/12/1963,,,,,,TRUE,
Benjamin Bratt,16/12/1963,,,,,,TRUE,
Judy Greer,20/07/1975,,,,,,TRUE,
Pablo Schreiber,26/04/1978,,,,,,TRUE,
3 more,,,,,,,FALSE,
by B. Brown,,,,,,,FALSE,
Brené Brown,,,,,,,FALSE,
Jon Lindstrom,18/10/1957,,,,,,TRUE,
Rebecca Lowman,,,,,,,FALSE,
Cassandra Campbell,,,,,,,FALSE,
Mark Deakins,,,,,,,FALSE,
Robertson Dean,,,,,,,FALSE,
Christine Lakin,24/01/1979,,,,,,TRUE,
Titus Welliver,12/03/1962,,,,,,TRUE,
Zachary Webber,,,,,,,FALSE,
E. L. James,,,,,,,FALSE,
E L James,,,,,,,FALSE,
James McBride,11/09/1957,,,,,,TRUE,
Dominic Hoffman,30/10/1962,,,,,,TRUE,
Brad Sanders,,,,,,,FALSE,
Rod Campbell,,,,,,,FALSE,
Jeff Bottoms,,,,,,,FALSE,
K.A. Knight,,,,,,,FALSE,
Cornell Collins,,,,,,,FALSE,
Hollie Jackson,,,,,,,FALSE,
Lilt Kids Coloring Books,,,,,,,FALSE,
American Psychiatric Association,,,,,,,TRUE,
by The Committee on Nomenclature,,,,,,,FALSE,
Statistics of the American Psychiatric Association,,,,,,,FALSE,
Zack Zombie,,,,,,,FALSE,
Ramon De Ocampo,,,,,,,FALSE,
Johnathan McClain,,,,,,,TRUE,
M Prefontaine,,,,,,,FALSE,
Michael Cohen,,,,,,,TRUE,
Thomas Kinkade,,,,,,,TRUE,
Zhi Gang Sha Dr.,,,,,,,FALSE,
Will Patton,,,,,,,FALSE,
T.R. Ragan,,,,,,,FALSE,
Dr. Seuss,,,,,,,FALSE,
Bram Stoker,1847-11-08,,20/04/1912,Gothic_fiction; Romance_novel,,,TRUE,
Jonathan Barnes,,,,,,,TRUE,
Mark Gatiss,17/10/1966,,,,,,TRUE,
Joseph Kloska,,,,,,,TRUE,
Deirdre Mullins,,,,,,,TRUE,
Nigel Betts,,,,,,,TRUE,
Rupert Young,16/05/1978,,,,,,TRUE,
Katy Manning,14/10/1946,,,,,,TRUE,
Alex Jordan,,,,,,,FALSE,
Adam RubinDaniel Salmieri,,,,,,,FALSE,
Daniel H. Pink,23/07/1964,,,,,,TRUE,
Frank Herbert,08/10/1920,,11/02/1986,Science_fiction,,,TRUE,
Orlagh Cassidy,17/08/1968,,,,,,TRUE,
Euan Morton,13/08/1977,,,,,,TRUE,
Simon Vance,16/12/1955,,,,,,TRUE,
Byron Jennings,,,,,,,FALSE,
David R. Gordon,,,,,,,FALSE,
Jason Culp,,,,,,,FALSE,
Kent Broadhurst,,,,,,,FALSE,
Oliver Wyman,,,,,,,TRUE,
Patricia Kilgarriff,,,,,,,FALSE,
Scott Sowers,,,,,,,FALSE,
11 more,,,,,,,FALSE,
Wizards RPG Team,,,,,,,FALSE,
by Wizards RPG Team,,,,,,,FALSE,
Pam Grout,,,,,,,FALSE,
Jane Smiley,26/09/1949,,,,,,TRUE,
Tom Coughlin,06/06/1949,,01/04/2016,,,,TRUE,
Jon Stewart,,,,,,,TRUE,
Nicola Scott,,,,,,,FALSE,
Orson Scott Card,24/08/1951,,,Fantasy_literature; Historical_fiction; Horror_fiction; LDS_fiction; Science_fiction; Thriller_(genre),,,TRUE,
Aaron Johnston,,,,,,,TRUE,
Nick Dragotta,,,,,,,FALSE,
Mark Hyman,22/11/1959,,,,,,TRUE,
Joel Fuhrman,02/12/1953,US,,,,,TRUE,
David Quammen,24/02/1948,,,,,,TRUE,
Richard North Patterson,,,,,,,FALSE,
Michael Goodwin,28/04/1939,,04/05/2011,,,,TRUE,
Dan E Burr,,,,,,,FALSE,
Tara Westover,,,,,,,FALSE,
Cece Bell,26/12/1970,,,Children's_literature,,,TRUE,
John Cena,,,,Gqom,,,TRUE,
Tim Dorsey,,,,,,,FALSE,
Erin Gates,,,,,,,FALSE,
Vicki Constantine Croke,,,,,,,FALSE,
Phil Jackson,02/02/1985,,,,,,TRUE,
Hugh Delehanty,,,,,,,FALSE,
Mercedes Lackey,24/06/1950,,,Fantasy,,,TRUE,
Stefany Shaheen,,,,,,,FALSE,
Ashlee Vance,,ZA,,,,,TRUE,
Ginger Alden,,,,,,,FALSE,
Brian Buffini,,,,,,,FALSE,
Alexander McCall Smith,24/08/1948,,,Children's_books; Crime_fiction,,,TRUE,
Sven Beckert,,,,,,,FALSE,
JD Dickey,,,,,,,FALSE,
SC Gwynne,,,,,,,FALSE,
Adam Warren,25/08/1987,,,,,,TRUE,
Bill Dedman,,,,,,,TRUE,
Paul Clark Newell Jr,,,,,,,FALSE,
Johanna Basford,,,,,,,TRUE,
Guy Kawasaki,,,,,,,FALSE,
Dale Bredesen,,,,,,,FALSE,
Scott Kelly,21/02/1964,,,,,,TRUE,
Alex Hutchinson,,,,,,,TRUE,
John U Bacon,,,,,,,FALSE,
Kyle Mills,,,,,,,TRUE,
Gregg Lederman,,,,,,,FALSE,
Steven Pinker,,,,,,,TRUE,
Dave Ramsey,03/09/1960,,,,,,TRUE,
Alison Goodman,12/08/1966,,,,,,TRUE,
Preston Sprinkle,,,,,,,FALSE,
Carolyn Jessop,01/01/1968,,,,,,TRUE,
Blaine Harden,,,,,,,FALSE,
Chris Grabenstein,,,,Children's_literature; Mystery_fiction,,,TRUE,
the staff of Althea Press,,,,,,,FALSE,
Steve Jenkins,,,,,,,TRUE,
Derek Walter,,,,,,,FALSE,
Caprice Crane,01/11/1970,,,,,,TRUE,
Anne Bishop,,,,,,,TRUE,
Regina Calcaterra,,,,,,,FALSE,
Cynthia Leitich Smith,,,,Children's_literature; Young_adult_fiction,,,TRUE,
Eva Longoria,,,,,,,TRUE,
Marah Stets,,,,,,,FALSE,
Ian Rankin,28/04/1960,,,Crime_fiction,,,TRUE,
Claudia Gray,,,,,,,TRUE,
Stuart Scott,19/07/1965,,04/01/2015,,,,TRUE,
Larry Platt,27/08/1947,,,,,,TRUE,
John Kerry,11/12/1943,,,,,,TRUE,
Olivia De Havilland,,,,,,,FALSE,
Tamara Ireland Stone,,,,,,,FALSE,
Bob Brown,12/11/1923,,28/07/2016,,,,TRUE,
Nick Chiles,07/08/1965,,,,,,TRUE,
John Kasich,,,,,,,TRUE,
Shel Silverstein,25/09/1930,,10/05/1999,Dark_comedy,,,TRUE,
Bob Goff,22/02/1959,,,,,,TRUE,
Stephanie Clifford,,,,,,,FALSE,
Richard Russo,15/07/1949,,,,,,TRUE,
Robin Roberts,30/09/1926,,06/05/2010,,,,TRUE,
Veronica Chambers,,,,,,,TRUE,
Chris Cleave,14/05/1973,,,,,,TRUE,
Bobbi Brown,14/04/1957,,,,,,TRUE,
Kate Bowler,16/06/1980,,,,,,TRUE,
Diane Muldrow,,,,,,,FALSE,
Celeste Ng,30/07/1980,,,,,,TRUE,
Mark Manson,09/03/1984,,,,,,TRUE,
Marie Forleo,07/12/1975,,,,,,TRUE,
Jimmy Fallon,,,,,,,TRUE,
Brad Stone,,,,,,,TRUE,
Rick Wilson,,,,,,,TRUE,
Andrea A Lunsford,,,,,,,FALSE,
John J Ruszkiewicz,,,,,,,FALSE,
Keith Walters,,,,,,,FALSE,
Nicola Yoon,,,,,,,TRUE,
Matthew Desmond,,,30/11/2022,,,,TRUE,
Chelsea Cain,05/02/1972,,,,,,TRUE,
Paul Holes,15/03/1968,,,,,,TRUE,
Jim Clemente,,,,,,,FALSE,
Peter McDonnell,11/06/1953,,,,,,TRUE,
Linda Holmes,16/03/1959,,,,,,TRUE,
Brian K Vaughan,,,,,,,FALSE,
Tony Harris,18/10/1922,,25/08/2000,,,,TRUE,
Rikdo Koshi,,,,,,,FALSE,
Dick Cheney,30/01/1941,,,,,,TRUE,
Liz Cheney,28/07/1966,,,,,,TRUE,
Mohsin Hamid,23/07/1971,,,Literary_fiction,,,TRUE,
Jane Velez-Mitchell,,,,,,,TRUE,
Kyra Davis,,,,Chick_lit,,,TRUE,
Mario Lopez,04/06/1955,,,,,,TRUE,
Jimmy Peña,,,,,,,FALSE,
Mac Barnett,,,,Children's_books,,,TRUE,
Leif Babin,,,,,,,FALSE,
Jonathan Safran Foer,21/02/1977,,,,,,TRUE,
Chase Conley,,,,,,,FALSE,
Andie Tong,,,,,,,FALSE,
Joel Fuhrman MD,,,,,,,FALSE,
David Hodgson,1798-06-13,,1864-04-22,,,,TRUE,
Gail Honeyman,,,,,,,FALSE,
Cathleen McCarron,,,,,,,TRUE,
Fred Sanders,,,,,,,FALSE,
Imani Parks,,,,,,,FALSE,
Josh Bloomberg,,,,,,,FALSE,
Brian Holden,,,,,,,FALSE,
Soneela Nankani,,,,,,,FALSE,
Alexander Cendese,,,,,,,FALSE,
Travis Bradberry,,,,,,,FALSE,
S. C. Gwynne,,,,,,,TRUE,
David Drummond,1890-02-11,,13/06/1965,,,,TRUE,
Stefan Rudnicki,,,,,,,FALSE,
Harlan Ellison,27/05/1934,,28/06/2018,Crime_fiction; Criticism; Fantasy; Horror_fiction; Mystery_(fiction); Science_fiction; Speculative_fiction,,,TRUE,
Gabrielle de Cuir,,,,,,,FALSE,
Sean Cameron Michael,24/12/1969,ZA,,,,,TRUE,
Vanessa Johansson,,,,,,,FALSE,
A. R. Torre,,,,,,,FALSE,
Carly Robins,,,,,,,FALSE,
Amy Landon,,,,,,,FALSE,
Tristan James,,,,,,,FALSE,
Brigit Esselmont,,,,,,,FALSE,
Workman Publishing,,,,,,,FALSE,
Jocko WillinkLeif Babin,,,,,,,FALSE,
Richard Benson,10/03/1955,,10/05/2022,Blues_rock; Hard_rock; Heavy_metal_music; Progressive_rock,,,TRUE,
Michael I Bennett,,,,,,,FALSE,
Sarah Bennett,,,,,,,FALSE,
Mark Buckingham,10/11/1964,,,,,,TRUE,
Matthew Sturges,,,,,,,FALSE,
Tony Akins,10/05/1977,,,,,,TRUE,
Jane O’Connor,,,,,,,FALSE,
Lisa Eldridge,,,,,,,FALSE,
Paul Stanley,22/08/1983,,,,,,TRUE,
Hans Rosling,27/07/1948,,07/02/2017,,,,TRUE,
Ola Rosling,,,,,,,FALSE,
Anna Rosling Ronnlund,,,,,,,FALSE,
James R Clapper,,,,,,,FALSE,
Trey Brown,,,,,,,TRUE,
Sean E Williams,,,,,,,FALSE,
Stephen Sadowski,,,,,,,FALSE,
Phil Jimenez,,,,,,,FALSE,
Lauren Beukes,05/06/1976,ZA,,Literary_fiction; Urban_fantasy; Utopian_and_dystopian_fiction,,,TRUE,
Inaki Miranda,,,,,,,FALSE,
Russ Braun,,,,,,,FALSE,
Hiro Mashima,03/05/1977,,,,,,TRUE,
Chris Duffy,07/07/1965,,25/08/2000,,,,TRUE,
RoseMarie Terenzio,,,,,,,FALSE,
Melanie Dickerson,,,,,,,FALSE,
Alice Hoffman,16/03/1952,,,Fantasy; Historical_fiction; Magic_realism,,,TRUE,
Lauren Kate,,,,,,,FALSE,
John Edward,19/10/1969,,,,,,TRUE,
J S Cooper,,,,,,,FALSE,
written  Peyton Manning,,,,,,,FALSE,
Eli Manning,,,,,,,TRUE,
Archie Manning   Jim Madsen,,,,,,,FALSE,
Susan Wiggs,,,,Romance_novel,,,TRUE,
David Marquez,,,,,,,TRUE,
Matthew Berry,29/12/1969,,,,,,TRUE,
Kurt Andersen,,,,,,,FALSE,
Madeleine Albright,,,,,,,FALSE,
Bill Woodward,,,,,,,FALSE,
Suzy Favor Hamilton,,,,,,,FALSE,
Sarah Tomlinson,,,,,,,FALSE,
Julie Garwood,,,,,,,TRUE,
Robert H Lustig,,,,,,,FALSE,
JA Jance,,,,,,,FALSE,
Lauren Groff,23/07/1978,,,,,,TRUE,
Barry Eisler,,,,Thriller_(genre),,,TRUE,
Bob Woodward,26/03/1943,US,,,,,TRUE,
Tony Moore,04/09/1947,,07/07/2017,,,,TRUE,
Matt Fraction,,,,,,,TRUE,
Priscilla Shirer,31/12/1974,,,,,,TRUE,
David Lawrence,05/05/1959,,20/03/2017,,,,TRUE,
Jim Ottaviani,,,,,,,FALSE,
Leland Myrick,,,,,,,FALSE,
Aly Raisman,25/05/1994,,,,,,TRUE,
Candice Fox,,,,,,,TRUE,
FL Fowler,,,,,,,FALSE,
Maria Popova,28/07/1984,,,,,,TRUE,
John Connolly,,,,,,,TRUE,
Tim Malloy,,,,,,,FALSE,
Carlos Pacheco,08/06/1957,,,,,,TRUE,
Pauline W Chen,,,,,,,FALSE,
Boyd Morrison,,,,Thriller_novel,,,TRUE,
Alexa Von Tobel,,,,,,,FALSE,
Kennedy Odede,,,,,,,TRUE,
Jessica Posner,,,,,,,FALSE,
Mitch Albom,23/05/1958,,,Fiction; Non-fiction,,,TRUE,
Dion Leonard,,,,,,,FALSE,
with Craig Borlase,,,,,,,FALSE,
Michelle Knight,,,,,,,FALSE,
Michelle Burford Weinstein,,,,,,,FALSE,
Adam Leitman Bailey,,,,,,,FALSE,
Lindsay Mattick,,,,,,,FALSE,
E Annie Proulx,,,,,,,FALSE,
Karen Finerman,25/02/1965,,,,,,TRUE,
Michael Wolff,31/07/1952,,,Jazz,,,TRUE,
Charles M Blow,,,,,,,FALSE,
Jeaniene Frost,13/06/1974,,,Fantasy; Romance_novel; Science_fiction,,,TRUE,
Sarah Addison Allen,,,,,,,TRUE,
Emily Raymond,,,,,,,FALSE,
Kate Andersen Brower,,,,,,,FALSE,
Sarah Wilson,08/01/1974,,,,,,TRUE,
Ryan,01/04/1992,,,,,,TRUE,
Josh Shook,,,,,,,FALSE,
Lynda Mullaly Hunt,,,,,,,FALSE,
Sheri Fink,,,,,,,FALSE,
Clint Hill,04/01/1932,US,,,,,TRUE,
Lisa McCubbin,,,,,,,FALSE,
Rachael Lippincott,05/12/1994,,,,,,TRUE,
Mikki Daughtry,,,,,,,FALSE,
Tobias Iaconis,,,,,,,TRUE,
Scott Cawthon,04/06/1978,,,,,,TRUE,
