title,author,rank,description,publisher,amazon_product_url
PHANTOM PREY,John Sandford,9,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,Putnam,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20
SNUFF,Chuck Palahniuk,10,An aging porn queen aims to cap her career by having sex on film with 600 men in one day.,Doubleday,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20
SHADOW OF POWER,Steve Martini,11,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,Morrow,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20
CARELESS IN RED,Elizabeth George,12,"In Cornwall, trying to recover from his wife’s death, Detective Thomas Lynley becomes involved in a murder investigation.",Harper,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20
THE WHOLE TRUTH,David Baldacci,13,An intelligence agent and a journalist team up against a warmongering defense contractor.,Grand Central,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,14,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
INVINCIBLE,Troy Denning,15,"The New Jedi order battles Darth Caedus, Darth Vader’s grandson; a “Star Wars: Legacy of the Force” novel.",Del Rey/Ballantine,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20
SWINE NOT?,Jimmy Buffett,16,A Southern family tries to hide its pet pig at a New York luxury hotel.,"Little, Brown",http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20
BLUE SMOKE AND MURDER,Elizabeth Lowell,17,,HarperCollins Publishers,http://www.amazon.com/Blue-Smoke-Murder-Elizabeth-Lowell/dp/0060829869?tag=NYTBS-20
BRIGHT SHINY MORNING,James Frey,18,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",Harper,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20
THE ENCHANTRESS OF FLORENCE,Salman Rushdie,19,,Random House Publishing Group,http://www.amazon.com/The-Enchantress-Florence-A-Novel/dp/0679640517?tag=NYTBS-20
UNACCUSTOMED EARTH,Jhumpa Lahiri,20,Stories of the anxiety and transformation experienced by Bengalis in America.,Knopf,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20
NOTHING TO LOSE,Lee Child,1,Jack Reacher exposes the secrets of a Colorado town.,Delacorte,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20
