title,author,rank,description,publisher,amazon_product_url
DEAD AND GONE,Charlaine Harris,8,Sookie Stackhouse searches for the killer of a werepanther.,Ace,http://www.amazon.com/Dead-And-Gone-Sookie-Stackhouse/dp/0441017150?tag=NYTBS-20
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,9,A Swedish hacker becomes a murder suspect.,Knopf,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20
A GATE AT THE STAIRS,Lorrie Moore,10,"A Midwestern college student takes a job as a nanny with a couple on the eve of adoption, from the author of ""Birds of America.""",Knopf,http://www.amazon.com/Gate-at-Stairs-Lorrie-Moore/dp/0375409289?tag=NYTBS-20
DARK SLAYER,Christine Feehan,11,A slayer who travels with a wolf pack frees a Dragon­seeker from prison and falls in love with him; a Carpathian novel.,Berkley,http://www.amazon.com/Dark-Slayer-Carpathian-Christine-Feehan/dp/0425229734?tag=NYTBS-20
206 BONES,Kathy Reichs,12,Temperance Brennan is accused of mishandling an autopsy.,Scribner,http://www.amazon.com/206-Bones-Novel-Temperance-Brennan-ebook/dp/B001NLL7K2?tag=NYTBS-20
THE ELEVENTH VICTIM,Nancy Grace,13,A prosecutor turned therapist is drawn back to crime-fighting when her clients start getting murdered one by one.,Hyperion,http://www.amazon.com/The-Eleventh-Victim-Nancy-Grace-ebook/dp/B002JB3ECE?tag=NYTBS-20
HOMER & LANGLEY,E L Doctorow,14,"The lives of the reclusive Collyer brothers, by the author of “Ragtime.”",Random House,http://www.amazon.com/Doctorow-Homer-Langley-DECKLE-Edition/dp/B0030RGMF2?tag=NYTBS-20
THAT OLD CAPE MAGIC,Richard Russo,15,"A long-married couple wrestle with dissatisfactions during a Cape Cod weekend, by the author of “Empire Falls.”",Knopf,http://www.amazon.com/That-Cape-Magic-Richard-Russo-ebook/dp/B002JRQM6I?tag=NYTBS-20
DEXTER BY DESIGN,Jeff Lindsay,16,"A serial killer who arranges victims in artful poses challenges the Miami Police Department and its blood splatter analyst, Dexter.",Doubleday,http://www.amazon.com/Dexter-Design-Morgan-4-ebook/dp/B002LVUMLS?tag=NYTBS-20
THE HOST,Stephenie Meyer,17,"In this first adult novel by the author of the Twilight series for teenagers, aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender; originally published in 2008.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
DAY AFTER NIGHT,Anita Diamant,18,,Scribner,http://www.amazon.com/Day-After-Night-A-Novel/dp/0743299841?tag=NYTBS-20
THE WAR AFTER ARMAGEDDON,Ralph Peters,19,,Forge,http://www.amazon.com/The-After-Armageddon-Ralph-Peters-ebook/dp/B002OKZCTI?tag=NYTBS-20
THE SPIRE,Richard North Patterson,20,A new college president opens an inquiry into a  murder that occurred when he was a student.,Holt,http://www.amazon.com/The-Spire-Richard-North-Patterson/dp/0805087737?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,1,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,2,"Jamie Fraser and his time-traveling wife, Claire, encounter pirates on the high seas; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,3,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
THE HELP,Kathryn Stockett,4,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
HOTHOUSE ORCHID,Stuart Woods,5,"A C.I.A. special agent finds that much has changed, and not for the better, when she returns to her Florida hometown.",Putnam,http://www.amazon.com/Hothouse-Orchid-Holly-Barker-Stuart/dp/0399156011?tag=NYTBS-20
SOUTH OF BROAD,Pat Conroy,6,"An unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of Tides.""",Nan A. Talese/Doubleday,http://www.amazon.com/South-Broad-Pat-Conroy/dp/B007CGWF1M?tag=NYTBS-20
ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,7,"The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.","Little, Brown",http://www.amazon.com/Alex-Crosss-Trial-James-Patterson/dp/0446557781?tag=NYTBS-20
THE YEAR OF THE FLOOD,Margaret Atwood,8,"In a violent future society, survivors of a catastrophic pandemic make their way.",Nan A. Talese/Doubleday,http://www.amazon.com/The-Year-Flood-A-Novel/dp/0385528779?tag=NYTBS-20
HARDBALL,Sara Paretsky,9,"Searching for an old woman’s missing son, V. I. Warshawski, the Chicago private investigator, is plunged into the politics of the 1960s.",Putnam,http://www.amazon.com/Hardball-V-I-Warshawski-Novel-Paretsky/dp/0399155937?tag=NYTBS-20
SPARTAN GOLD,Clive Cussler with Grant Blackwood,10,Husband-and-wife treasure hunters search for bottles of wine from Napoleon’s “lost cellar.”,Putnam,http://www.amazon.com/Spartan-Gold-A-Fargo-Adventure/dp/0399156429?tag=NYTBS-20
A CHANGE IN ALTITUDE,Anita Shreve,11,A young woman’s life is transformed by a mountain-climbing accident in Kenya.,"Little, Brown",http://www.amazon.com/A-Change-Altitude-Novel/dp/0316020710?tag=NYTBS-20
DEAD AND GONE,Charlaine Harris,12,Sookie Stackhouse searches for the killer of a werepanther.,Ace,http://www.amazon.com/Dead-And-Gone-Sookie-Stackhouse/dp/0441017150?tag=NYTBS-20
THE LOST ART OF GRATITUDE,Alexander McCall Smith,13,Edinburgh’s Isabel Dalhousie in the sixth Sunday Philosophy Club novel.,Pantheon,http://www.amazon.com/The-Lost-Art-Gratitude-Dalhousie/dp/B00C2HHB7Y?tag=NYTBS-20
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,14,A Swedish hacker becomes a murder suspect.,Knopf,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20
MAMA DEAREST,E Lynn Harris,15,A woman tries to derail her daughter’s entertainment career.,Pocket Books/Karen Hunter,http://www.amazon.com/Mama-Dearest-E-Lynn-Harris/dp/1439158908?tag=NYTBS-20
BLOOD'S A ROVER,James Ellroy,16,The violent final volume of the Underworld U.S.A. trilogy.,Knopf,http://www.amazon.com/Bloods-Rover-Underworld-USA-3-ebook/dp/B0054TTTF4?tag=NYTBS-20
THE WHITE QUEEN,Philippa Gregory,17,"Palace intrigue during the War of the Roses, by the author of ""The Other Boleyn Girl.""",Touchstone/Simon & Schuster,http://www.amazon.com/The-White-Queen-Cousins-War/dp/1476735484?tag=NYTBS-20
HOMER & LANGLEY,E L Doctorow,18,"The lives of the reclusive Collyer brothers, by the author of “Ragtime.”",Random House,http://www.amazon.com/Doctorow-Homer-Langley-DECKLE-Edition/dp/B0030RGMF2?tag=NYTBS-20
THE BRUTAL TELLING,Louise Penny,19,,Minotaur,http://www.amazon.com/The-Brutal-Telling-Inspector-Mysteries/dp/0312377037?tag=NYTBS-20
A GATE AT THE STAIRS,Lorrie Moore,20,"A Midwestern college student takes a job as a nanny with a couple on the eve of adoption, from the author of ""Birds of America.""",Knopf,http://www.amazon.com/Gate-at-Stairs-Lorrie-Moore/dp/0375409289?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,1,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,2,"The descendants of Jamie Fraser and his wife, Claire, search for clues about their flight from North Carolina during the Revolution; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
ROUGH COUNTRY,John Sandford,3,Virgil Flowers investigates a string of murders at a Minnesota resort for women.,Putnam,http://www.amazon.com/Rough-Country-Virgil-Flowers-Novel/dp/0399155988?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,4,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
THE HELP,Kathryn Stockett,5,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
HER FEARFUL SYMMETRY,Audrey Niffenegger,6,A woman haunts the flat she’s left to her twin nieces near Highgate Cemetery in London.,Scribner,http://www.amazon.com/Her-Fearful-Symmetry-A-Novel-ebook/dp/B002O0K6VC?tag=NYTBS-20
THE PERFECT CHRISTMAS,Debbie Macomber,7,A 33-year-old woman consults a matchmaker.,Mira,http://www.amazon.com/The-Perfect-Christmas-Debbie-Macomber-ebook/dp/B005JSK3BY?tag=NYTBS-20
SOUTH OF BROAD,Pat Conroy,8,"An unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of Tides.""",Nan A. Talese/Doubleday,http://www.amazon.com/South-Broad-Pat-Conroy/dp/B007CGWF1M?tag=NYTBS-20
ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,9,"The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.","Little, Brown",http://www.amazon.com/Alex-Crosss-Trial-James-Patterson/dp/0446557781?tag=NYTBS-20
HOTHOUSE ORCHID,Stuart Woods,10,"A C.I.A. special agent finds that much has changed, and not for the better, when she returns to her Florida hometown.",Putnam,http://www.amazon.com/Hothouse-Orchid-Holly-Barker-Stuart/dp/0399156011?tag=NYTBS-20
"JULIET, NAKED",Nick Horn,11,A woman looking for a change begins a relationship with a reclusive singer-­songwriter about to release a new album.,Riverhead,http://www.amazon.com/Juliet-Naked-novel-Nick-Hornby/dp/1594488878?tag=NYTBS-20
FROSTBITTEN,Kelley Armstrong,12,The world’s only female werewolf and her mate track a rogue who’s hunting humans in the Alaskan forest.,Bantam,http://www.amazon.com/Frostbitten-Otherworld-Kelley-Armstrong-ebook/dp/B002MUAFX8?tag=NYTBS-20
DEAD AND GONE,Charlaine Harris,13,Sookie Stackhouse searches for the killer of a werepanther.,Ace,http://www.amazon.com/Dead-And-Gone-Sookie-Stackhouse/dp/0441017150?tag=NYTBS-20
SPARTAN GOLD,Clive Cussler with Grant Blackwood,14,Husband-and-wife treasure hunters search for bottles of wine from Napoleon’s “lost cellar.”,Putnam,http://www.amazon.com/Spartan-Gold-A-Fargo-Adventure/dp/0399156429?tag=NYTBS-20
THE YEAR OF THE FLOOD,Margaret Atwood,15,"In a violent future society, survivors of a catastrophic pandemic make their way.",Nan A. Talese/Doubleday,http://www.amazon.com/The-Year-Flood-A-Novel/dp/0385528779?tag=NYTBS-20
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,16,A Swedish hacker becomes a murder suspect.,Knopf,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20
A CHANGE IN ALTITUDE,Anita Shreve,17,A young woman’s life is transformed by a mountain-climbing accident in Kenya.,"Little, Brown",http://www.amazon.com/A-Change-Altitude-Novel/dp/0316020710?tag=NYTBS-20
LAKESHORE CHRISTMAS,Susan Wiggs,18,,Mira,http://www.amazon.com/Lakeshore-Christmas-Chronicles-Book/dp/0778326896?tag=NYTBS-20
PLUM PUDDING MURDER,Joanne Fluke,19,,Kensington,http://www.amazon.com/Pudding-Murder-Hannah-Swensen-Mysteries/dp/0758210248?tag=NYTBS-20
THE WHITE QUEEN,Philippa Gregory,20,"Palace intrigue during the War of the Roses, by the author of ""The Other Boleyn Girl.""",Touchstone/Simon & Schuster,http://www.amazon.com/The-White-Queen-Cousins-War/dp/1476735484?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,1,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
A TOUCH OF DEAD,Charlaine Harris,2,The complete Sookie Stackhouse stories.,Ace,http://www.amazon.com/Touch-Dead-Sookie-Stackhouse-Complete/dp/0441017835?tag=NYTBS-20
THE HELP,Kathryn Stockett,3,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
THE PROFESSIONAL,Robert B Parker,4,"Rich women are turning up dead, and the Boston P.I. Spenser investigates.",Putnam,http://www.amazon.com/The-Professional-Robert-B-Parker/dp/0399155945?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,5,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
EVIDENCE,Jonathan Kellerman,6,The Los Angeles psychologist-detective Alex Delaware helps solve the grisly murder of an architect and his companion.,Ballantine,http://www.amazon.com/Evidence-An-Alex-Delaware-Novel-ebook/dp/B002MUAFXI?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,7,"A re-creation of the life of the author’s grandmother, a mustang breaker, schoolteacher, ranch wife and mother of two who grew up in the Southwest in the early 20th century, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,8,"The descendants of Jamie Fraser and his wife, Claire, search for clues about their flight from North Carolina during the Revolution; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
ROUGH COUNTRY,John Sandford,9,Virgil Flowers investigates a string of murders at a Minnesota resort for women.,Putnam,http://www.amazon.com/Rough-Country-Virgil-Flowers-Novel/dp/0399155988?tag=NYTBS-20
HER FEARFUL SYMMETRY,Audrey Niffenegger,10,A woman haunts the flat she’s left to her twin nieces near Highgate Cemetery in London.,Scribner,http://www.amazon.com/Her-Fearful-Symmetry-A-Novel-ebook/dp/B002O0K6VC?tag=NYTBS-20
THE GHOST KING,R A Salvatore,11,"In the final book of the Transitions fantasy series, Drizzt faces a powerful foe, a demonic crystal shard.",Wizards of the Coast,http://www.amazon.com/The-Ghost-King-Transitions-Book/dp/078695499X?tag=NYTBS-20
THE CHRISTMAS LIST,Richard Paul Evans,12,A man changes his life after he reads his own obituary and learns what others think of him.,Simon & Schuster,http://www.amazon.com/The-Christmas-List-A-Novel/dp/1439150001?tag=NYTBS-20
THE UNSEEN ACADEMICALS,Terry Pratchett,13,"In this Discworld fantasy, the benevolent tyrant of Ankh-Morpork suggests that Unseen University put together a football team.",Harper/HarperCollins,http://www.amazon.com/Unseen-Academicals-Discworld-Terry-Pratchett/dp/0061161705?tag=NYTBS-20
SOUTH OF BROAD,Pat Conroy,14,"An unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of Tides.""",Nan A. Talese/Doubleday,http://www.amazon.com/South-Broad-Pat-Conroy/dp/B007CGWF1M?tag=NYTBS-20
DEAD AND GONE,Charlaine Harris,15,Sookie Stackhouse searches for the killer of a werepanther.,Ace,http://www.amazon.com/Dead-And-Gone-Sookie-Stackhouse/dp/0441017150?tag=NYTBS-20
ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,16,"The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.","Little, Brown",http://www.amazon.com/Alex-Crosss-Trial-James-Patterson/dp/0446557781?tag=NYTBS-20
THE PERFECT CHRISTMAS,Debbie Macomber,17,"A matchmaker assigns Cassie Beaumont three tasks before revealing her perfect mate; includes the 1998 story ""Can This Be Christmas?""",Mira,http://www.amazon.com/The-Perfect-Christmas-Debbie-Macomber-ebook/dp/B005JSK3BY?tag=NYTBS-20
HOTHOUSE ORCHID,Stuart Woods,18,"A C.I.A. special agent finds that much has changed, and not for the better, when she returns to her Florida hometown.",Putnam,http://www.amazon.com/Hothouse-Orchid-Holly-Barker-Stuart/dp/0399156011?tag=NYTBS-20
"JULIET, NAKED",Nick Horn,19,A woman looking for a change begins a relationship with a reclusive singer-­songwriter about to release a new album.,Riverhead,http://www.amazon.com/Juliet-Naked-novel-Nick-Hornby/dp/1594488878?tag=NYTBS-20
THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,20,"In the second volume of the Millennium trilogy, the Swedish hacker Lisbeth Salander becomes a murder suspect.",Knopf,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,1,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,2,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,3,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
THE HELP,Kathryn Stockett,4,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,5,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
A TOUCH OF DEAD,Charlaine Harris,6,The complete Sookie Stackhouse stories.,Ace,http://www.amazon.com/Touch-Dead-Sookie-Stackhouse-Complete/dp/0441017835?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,7,"A re-creation of the life of the author’s grandmother, a mustang breaker, schoolteacher, ranch wife and mother of two who grew up in the Southwest in the early 20th century, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
ROUGH COUNTRY,John Sandford,8,Virgil Flowers investigates a string of murders at a Minnesota resort for women.,Putnam,http://www.amazon.com/Rough-Country-Virgil-Flowers-Novel/dp/0399155988?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,9,"The descendants of Jamie Fraser and his wife, Claire, search for clues about their flight from North Carolina during the Revolution; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
THE PROFESSIONAL,Robert B Parker,10,"Rich women are turning up dead, and the Boston P.I. Spenser investigates.",Putnam,http://www.amazon.com/The-Professional-Robert-B-Parker/dp/0399155945?tag=NYTBS-20
HEAT WAVE,Richard Castle,11,An N.Y.P.D. homicide detective investigates the death of a real estate tycoon and flirts with a magazine journalist.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
EVIDENCE,Jonathan Kellerman,12,The Los Angeles psychologist-detective Alex Delaware helps solve the grisly murder of an architect and his companion.,Ballantine,http://www.amazon.com/Evidence-An-Alex-Delaware-Novel-ebook/dp/B002MUAFXI?tag=NYTBS-20
DEATH TROOPERS,Joe Schreiber,13,Survivors of an Imperial prison barge must contend with a plague and the undead aboard a Star Destroyer; a “Star Wars” book.,Del Rey/Ballantine,http://www.amazon.com/Death-Troopers-Star-Joe-Schreiber/dp/0345509625?tag=NYTBS-20
HER FEARFUL SYMMETRY,Audrey Niffenegger,14,A woman haunts the flat she’s left to her twin nieces near Highgate Cemetery in London.,Scribner,http://www.amazon.com/Her-Fearful-Symmetry-A-Novel-ebook/dp/B002O0K6VC?tag=NYTBS-20
WOLF HALL,Hilary Mantel,15,Thomas More and Thomas Cromwell clash in Henry VIII’s turbulent court.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
DEEP KISS OF WINTER,Kresley Cole and Gena Showalter,16,,Pocket,http://www.amazon.com/Deep-Kiss-Winter-Kresley-Cole/dp/1451600054?tag=NYTBS-20
THE GHOST KING,R A Salvatore,17,"In the final book of the Transitions fantasy series, Drizzt faces a powerful foe, a demonic crystal shard.",Wizards of the Coast,http://www.amazon.com/The-Ghost-King-Transitions-Book/dp/078695499X?tag=NYTBS-20
SOUTH OF BROAD,Pat Conroy,18,"An unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of Tides.""",Nan A. Talese/Doubleday,http://www.amazon.com/South-Broad-Pat-Conroy/dp/B007CGWF1M?tag=NYTBS-20
DEAD AND GONE,Charlaine Harris,19,Sookie Stackhouse searches for the killer of a werepanther.,Ace,http://www.amazon.com/Dead-And-Gone-Sookie-Stackhouse/dp/0441017150?tag=NYTBS-20
AND ANOTHER THING...,Eoin Colfer,20,,Hyperion,http://www.amazon.com/Another-Thing-Hitchhikers-Guide-Galaxy/dp/1401323588?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,1,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
THE SCARPETTA FACTOR,Patricia Cornwell,2,Apparent threats on Kay Scarpetta’s  life make her hesitate when a TV producer wants her to star in a show.,Putnam,http://www.amazon.com/The-Scarpetta-Factor-Novel/dp/B003UHUBDG?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,3,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,4,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
THE HELP,Kathryn Stockett,5,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
HEAT WAVE,Richard Castle,6,An N.Y.P.D. homicide detective investigates the death of a real estate tycoon and flirts with a magazine journalist.,Hyperion,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20
WOLF HALL,Hilary Mantel,7,Thomas More and Thomas Cromwell clash in Henry VIII’s turbulent court.,Holt,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20
SOUTHERN LIGHTS,Danielle Steel,8,"When a New York prosecutor’s daughter is threatened, she sends her back to the Charleston world she herself fled.",Delacorte,http://www.amazon.com/Southern-Lights-Random-House-Large/dp/0739328662?tag=NYTBS-20
HALF BROKE HORSES,Jeannette Walls,9,"A re-creation of the life of the author’s grandmother in the Southwest, by the author of “The Glass Castle.”",Scribner,http://www.amazon.com/Half-Broke-Horses-True-Life-Novel/dp/1416586296?tag=NYTBS-20
THE LAST SONG,Nicholas Sparks,10,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.,Grand Central,http://www.amazon.com/The-Last-Song-Nicholas-Sparks-ebook/dp/B002M2AT0K?tag=NYTBS-20
BLOOD GAME,Iris Johansen,11,The forensic sculptor Eve Duncan struggles against a serial killer.,St. Martin’s,http://www.amazon.com/Blood-Game-Forensics-Thriller-Thrillers/dp/0312368127?tag=NYTBS-20
A TOUCH OF DEAD,Charlaine Harris,12,The complete Sookie Stackhouse stories.,Ace,http://www.amazon.com/Touch-Dead-Sookie-Stackhouse-Complete/dp/0441017835?tag=NYTBS-20
TO TRY MEN'S SOULS,"Newt Gingrich, William R Forstchen and Albert S Hanser",13,The darkest days of the American Revolution.,Thomas Dunne/St. Martin’s,http://www.amazon.com/To-Try-Mens-Souls-Washington/dp/0312591063?tag=NYTBS-20
AN ECHO IN THE BONE,Diana Gabaldon,14,"The descendants of Jamie Fraser and his wife, Claire, search for clues about their flight from North Carolina during the Revolution; the seventh Outlander novel.",Delacorte,http://www.amazon.com/An-Echo-Bone-Novel-Outlander/dp/0440245680?tag=NYTBS-20
ROUGH COUNTRY,John Sandford,15,Virgil Flowers investigates a string of murders at a Minnesota resort for women.,Putnam,http://www.amazon.com/Rough-Country-Virgil-Flowers-Novel/dp/0399155988?tag=NYTBS-20
THE PROFESSIONAL,Robert B Parker,16,"Women are turning up dead, and the Boston P.I. Spenser investigates.",Putnam,http://www.amazon.com/The-Professional-Robert-B-Parker/dp/0399155945?tag=NYTBS-20
EVIDENCE,Jonathan Kellerman,17,The Los Angeles psychologist-detective Alex Delaware helps solve the grisly murder of an architect and his companion.,Ballantine,http://www.amazon.com/Evidence-An-Alex-Delaware-Novel-ebook/dp/B002MUAFXI?tag=NYTBS-20
HER FEARFUL SYMMETRY,Audrey Niffenegger,18,A woman haunts the flat she’s left to her twin nieces near Highgate Cemetery in London.,Scribner,http://www.amazon.com/Her-Fearful-Symmetry-A-Novel-ebook/dp/B002O0K6VC?tag=NYTBS-20
THE GHOST KING,R A Salvatore,19,"In the final book of the Transitions fantasy series, Drizzt faces a powerful foe, a demonic crystal shard.",Wizards of the Coast,http://www.amazon.com/The-Ghost-King-Transitions-Book/dp/078695499X?tag=NYTBS-20
DEATH TROOPERS,Joe Schreiber,20,Survivors of an Imperial prison barge must contend with a plague and the undead aboard a Star Destroyer; a “Star Wars” book.,Del Rey/Ballantine,http://www.amazon.com/Death-Troopers-Star-Joe-Schreiber/dp/0345509625?tag=NYTBS-20
THE GATHERING STORM,Robert Jordan and Brandon Sanderson,1,Book 12 of the Wheel of Time fantasy series.,Tor/TomDoherty,http://www.amazon.com/Gathering-Storm-Wheel-Time-Book/dp/0765302306?tag=NYTBS-20
THE LOST SYMBOL,Dan Brown,2,Robert Langdon among the Masons.,Doubleday,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20
TRUE BLUE,David Baldacci,3,"
An ex-cop in Washington struggles to clear her name.",Grand Central,http://www.amazon.com/True-Blue-David-Baldacci-ebook/dp/B002SRL3PO?tag=NYTBS-20
LAST NIGHT IN TWISTED RIVER,John Irving,4,"
A loggers’ cook and his son are on the run from the law, for decades.",Random House,http://www.amazon.com/Last-Night-Twisted-River-Novel/dp/1400063841?tag=NYTBS-20
PURSUIT OF HONOR,Vince Flynn,5,The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack.,Atria,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20
THE SCARPETTA FACTOR,Patricia Cornwell,6,Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show.,Putnam,http://www.amazon.com/The-Scarpetta-Factor-Novel/dp/B003UHUBDG?tag=NYTBS-20
THE HELP,Kathryn Stockett,7,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20
NINE DRAGONS,Michael Connelly,8,The Los Angeles detective Harry Bosch fights crime at home and in Hong Kong.,"Little, Brown",http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20
GRAVE SECRET,Charlaine Harris,9,"
Harper Connelly and her stepbrother Tolliver head for Texas and into family trouble.",Berkeley Prime Crime,http://www.amazon.com/Grave-Secret-Harper-Connelly-Mysteries/dp/0425237516?tag=NYTBS-20
