,title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,year
0,#ASKGARYVEE,Gary Vaynerchuk,9780062273123,0062273124,5.0,,,https://www.amazon.com/AskGaryVee-Entrepreneurs-Leadership-Social-Self-Awareness/dp/0062273124?tag=NYTBS-20,,,
1,#GIRLBOSS,Sophia Amoruso,9780399169274,039916927X,2.0,,,https://www.amazon.com/GIRLBOSS-Sophia-Amoruso/dp/039916927X?tag=NYTBS-20,,,
2,10% HAPPIER,Dan Harris,9780062265425,0062265423,2.0,,"A co-anchor of ""Nightline"" reports on the science and spiritual basis of meditation, and describes how it has improved his life.",https://www.amazon.com/10?tag=NYTBS-20,,,2014-03-11
3,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,9780982301821,0982301820,4.0,,Beverages of combined leafy greens and fruits are the basis for a weight loss and health plan.,https://www.amazon.com/10-Day-Green-Smoothie-Cleanse-Smith/dp/1501100106?tag=NYTBS-20,,,2014-02-09
4,10-Day Green Smoothie Cleanse,JJ Smith,9781781805657,1781805652,6.0,4.7,,,,"[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]",2015-01-05
5,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,JJ Smith,9781781805657,1781805652,93.0,4.7,,,,,2015-01-05
6,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",Jade Summer,9781079520019,1079520015,4.0,4.6,,,,"[""Books"",""Arts & Photography"",""Graphic Design""]",2019-07-15
7,"100 BULLETS: DELUXE EDITION, BOOK FOUR",Brian Azzarello;Eduardo Risso,9781401238070,1401238076,4.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 59 through 80.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Book/dp/1401238076?tag=NYTBS-20,,,2013
8,"100 BULLETS: DELUXE EDITION, BOOK THREE",Brian Azzarello;Edward Risso,9781401237295,1401237290,2.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 37 through 58.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Three/dp/1401237290?tag=NYTBS-20,,,2012
9,100 DAYS OF REAL FOOD,Lisa Leake,9780062252555,0062252550,2.0,,"Wholesome, family-friendly recipes that are easy to prepare.",https://www.amazon.com/100-Days-Real-Food-Wholesome/dp/0062252550?tag=NYTBS-20,,,2014-08-26
10,100 DEADLY SKILLS,Clint Emerson,9781476796055,147679605X,2.0,,"The SEAL Operative's guide to eluding pursuit, capture and all manner of unseen danger.",https://www.amazon.com/100-Deadly-Skills-Operatives-Surviving/dp/147679605X?tag=NYTBS-20,,,2015-10-13
11,"100 Flowers: An Adult Coloring Book with Bouquets, Wreaths, Swirls, Patterns, Decorations, Inspirational Designs, and Much More!",Jade Summer,9781661264109,1661264107,1.0,4.7,,,,"[""Books"",""Arts & Photography"",""Graphic Design""]",2020-01-16
12,1000 DOT-TO-DOT: CITIES,Thomas Pavitte,9781626860667,1626860661,4.0,,"A graphic designer known for his 6,239 dot version of the Mona Lisa offers twenty exotic locations for adults to complete as line art.",https://www.amazon.com/1000-Dot-Dot-Thomas-Pavitte/dp/1626860661?tag=NYTBS-20,,,2014-08-01
13,101 DOG TRICKS,Kyra Sundance;Chalcy,9781592533251,1592533256,2.0,,"A dog trainer shares advice and activities to engage, challenge and bond with your dog.",https://www.amazon.com/101-Dog-Tricks-Activities-Challenge/dp/1592533256?tag=NYTBS-20,,,2007-04
14,"101 So Bad, They're Good Dad Jokes",Elias Hill,9781973749127,1973749122,1.0,4.4,,,,"[""Books"",""Humor & Entertainment"",""Humor""]",2017-07-20
15,"101 So Bad, They're Good Dad Jokes: Golf Edition",Elias Hill,9781977841650,1977841651,98.0,4.4,,,,"[""Books"",""Humor & Entertainment"",""Humor""]",2017-10-02
16,1022 EVERGREEN PLACE,Debbie Macomber,9780778328063,0778328066,1.0,,A growing romance in a small town; the 10th Cedar Grove novel.,https://www.amazon.com/1022-Evergreen-Place-Cedar-Cove/dp/0778328066?tag=NYTBS-20,,,2010-08-31
17,108 STITCHES,Ron Darling;Daniel Paisner,9781250184399,1250184398,5.0,,,https://www.amazon.com/108-Stitches-Threads-Darndest-Characters/dp/125018438X?tag=NYTBS-20,,,2019-04-02
18,10TH ANNIVERSARY,James Patterson;Maxine Paetro,9780316036269,0316036269,2.0,,Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.,https://www.amazon.com/10th-Anniversary-Womens-Murder-Club/dp/1455511463?tag=NYTBS-20,"Little, Brown",,2011-05-02
19,11/22/63,Stephen King,9781451627282,1451627289,1.0,,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,https://www.amazon.com/11-22-63-A-Novel/dp/1451627297?tag=NYTBS-20,Scribner,,2011-11-08
20,11/22/63: A Novel,Stephen King,9781501120602,1501120603,19.0,4.7,,,,,2016-01-26
21,1105 YAKIMA STREET,Debbie Macomber,9780778312512,0778312518,3.0,,"Bruce Peyton’s pregnant wife has left him, and he’s not the only one in town with problems; Book 11 of the Cedar Cove series.",https://www.amazon.com/1105-Yakima-Street-Cedar-Cove-ebook/dp/B005DB89GI?tag=NYTBS-20,,,
22,11TH HOUR,James Patterson;Maxine Paetro,9780316097482,0316097489,4.0,,Detective Lindsay Boxer and the Women’s Murder Club investigate a possible serial killer.,https://www.amazon.com/11th-Hour-Womens-Murder-Club/dp/0446571830?tag=NYTBS-20,"Little, Brown",,2012-05-07
